,Survey Year,Timestamp,SalaryUSD,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,PopulationOfLargestCityWithin20Miles,EmploymentSector,CareerPlansThisYear,Gender
0,2020,2020-01-04 18:50:34.328,115000.0,United States,03,Microsoft SQL Server,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,500,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same employer, same role",Male
1,2020,2020-01-04 10:43:01.821,100000.0,United States,,Other,6,Full time employee,"Developer: App code (C#, JS, etc)",No,6,1,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Prefer not to say,Male
3,2020,2020-01-04 01:08:53.605,70000.0,United States,94133,Microsoft SQL Server,3,Full time employee,Analyst,No,3,3,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Change both employers and roles,Male
4,2020,2020-01-03 15:28:54.163,110000.0,United States,95354,Oracle,30,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,25,45,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Non-profit,"Stay with the same employer, same role",Male
5,2020,2020-01-03 15:06:14.882,79500.0,United States,78727,Oracle,2,Full time employee,Analyst,No,2,4,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer, same role",Male
6,2020,2020-01-03 07:15:50.654,110000.0,United States,14216,Other,4,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,4,500,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer,  but change roles",Male
8,2020,2020-01-02 23:30:37.902,58000.0,United States,85716,Microsoft SQL Server,1,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,1,3,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),"Education (K-12, college, university)","Stay with the same employer, same role",Male
9,2020,2020-01-02 23:08:07.384,125000.0,United States,,Microsoft SQL Server,6,Full time employee,Engineer,No,4,9,Not Asked,Not Asked,Not Asked,Not Asked,100K-299K (city),Private business,"Stay with the same employer, same role",Male
10,2020,2020-01-02 18:47:20.449,87500.0,United States,28213,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",No,10,2,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Prefer not to say,Male
11,2020,2020-01-02 14:44:50.728,120000.0,United States,85383,Microsoft SQL Server,20,Full time employee,Manager,Yes,9,40,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Local government,"Stay with the same role, but change employers",Male
12,2020,2020-01-02 10:59:42.841,158000.0,United States,,Oracle,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,4,40,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Non-profit,"Stay with the same employer, same role",Male
13,2020,2020-01-02 10:06:57.740,53000.0,United States,87544,Microsoft SQL Server,1,Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,1,50,Not Asked,Not Asked,Not Asked,Not Asked,"<= 20,000 (town)",Federal government,"Stay with the same employer,  but change roles",Female
15,2020,2020-01-02 09:30:56.956,88000.0,United States,,Other,4,Full time employee,Analyst,No,4,5,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Private business,"Stay with the same employer, same role",Male
21,2020,2020-01-01 19:10:24.784,90000.0,United States,62220,MySQL/MariaDB,1,Full time employee of a consulting/contracting company,Analyst,No,1,10,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Federal government,"Stay with the same employer, same role",Male
22,2020,2020-01-01 17:01:50.288,100000.0,United States,73116,Microsoft SQL Server,7,Full time employee,Developer: T-SQL,No,5,5,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,"Stay with the same employer, same role",Male
23,2020,2020-01-01 13:08:28.512,128500.0,United States,75201,Microsoft SQL Server,18,Full time employee,Developer: T-SQL,Yes,4,7,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,Change both employers and roles,Male
24,2020,2020-01-01 11:11:07.495,64000.0,United States,76107,Microsoft SQL Server,6,Full time employee,"Developer: App code (C#, JS, etc)",No,3,12,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Non-profit,Change both employers and roles,Male
25,2020,2020-01-01 08:50:14.153,75000.0,United States,19116,Microsoft Access,1,Full time employee,Analyst,No,1,3,Not Asked,Not Asked,Not Asked,Not Asked,1M+ (metropolis),Private business,"Stay with the same employer,  but change roles",Male
26,2020,2019-12-31 14:19:39.268,185000.0,United States,92804,Microsoft SQL Server,15,Full time employee,Engineer,No,15,2,Not Asked,Not Asked,Not Asked,Not Asked,300K-1M (large city),Private business,Change both employers and roles,Male
28,2020,2019-12-31 13:00:25.460,116000.0,United States,05,Microsoft SQL Server,15,Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,9,300,Not Asked,Not Asked,Not Asked,Not Asked,20K-99K (large town),Non-profit,"Stay with the same employer, same role",Male
